,Timestamp,Busy,Finished
0,1674916756.8584385,[1],0.0
1,1674916759.8772182,[0],1.0
2,1674916759.8812177,[1],1.0
3,1674916762.919297,[0],2.0
4,1674916762.9222884,[1],2.0
5,1674916765.9292727,[0],3.0
6,1674916765.9323072,[1],3.0
7,1674916768.9479132,[0],4.0
8,1674916768.9518678,[1],4.0
9,1674916771.9894478,[0],5.0
10,1674916771.992448,[1],5.0
11,1674916775.0118625,[0],6.0
12,1674916775.015401,[1],6.0
13,1674916778.0466576,[0],7.0
14,1674916778.050657,[1],7.0
15,1674916781.0876036,[0],8.0
16,1674916781.0906072,[1],8.0
17,1674916784.1185806,[0],9.0
18,1674916784.1215777,[1],9.0
19,1674916787.152374,[0],10.0
